Number,CustomerID,Title,Content,dialoguetype
0,0,라디오,…강원도 태백시에서 산사태가 발생하여 인근 마을에 피해가 발생했습니다.,text
1,0,라디오,마을 자체가 무너져 임시 거처를 마련한 상태이며 2명이 실종되어….,text
2,0,라디오,…,text
3,0,유수화,이쪽 지역으로 가는 거 맞아요?,text
4,0,스승님,산에서 조난을 당하는 이들은 참으로 많다.,text
5,0,스승님,허나 그들이 흔적조차 찾을 수 없이 사라지는 일이 어디 흔한 일이겠느냐.,text
6,0,유수화,귀신이 벌인 짓일까요?,text
7,0,스승님,가서 확인하지 않는다면 알 방도가 없다. 단지.,text
8,0,스승님,그럴 가능성이 높다는 것은 부정할 수 없는 사실일 뿐.,text
9,0,스승님,…마침 도착하였구나.,text
10,0,유수화,재난 대피소… 네요.,text
11,0,,,end
12,1,이월,앞쪽 도로에 물이 범람하여 건너갈 수가 없어 하루 정도 머물러야 할 것 같습니다.,text
13,1,마을 사람,고생이 많으시네요. 이곳엔 마을 사람들이 대피해 있어서 불편하실 수도 있을 텐데….,text
14,1,유수화,괜찮아요. 저희보단 먼저 오신 분들이 불편하실까 걱정이죠.,text
15,1,마을 사람,그런 걱정은 마세요.,text
16,1,???,…희야. 이리온…….,text
17,1,마을 사람,…아.,text
18,1,남궁희,…엄마?,text
19,1,마을 사람,희야?,text
20,1,마을 사람,이 밤 중에 나가면 어떡하니!,text
21,1,마을 사람,저 애가 원래 이런 애가 아닌데…. 찾으러 다녀와야겠어요.,text
22,1,마을 사람,아마 저쪽 공간이 비어 있는 걸로 알고 있으니 편안히 쓰세요!,text
23,1,유수화,잠깐….,text
24,1,유수화,…가셨네요.,text
25,1,이월,….,text
26,1,유수화,아까 그 아이... 이상했죠? 마치 홀린 듯이….,text
27,1,스승님,나가보아야겠구나.,text
28,1,유수화,이렇게 비가 많이 오는데… 같이 가요!,text
29,1,,,end
